       Ts         Scale        Bias12     Misalign34       Bias34 
    0.6769    -0.1937423    -0.0000570   610.2992645    -0.0000624
    0.6319    -0.1936312     0.0002899   613.6487770     0.0002862
    0.5786    -0.1936049     0.0003659   615.9919072     0.0003615
    0.5272    -0.1936909     0.0003647   618.3569825     0.0003511
    0.4767    -0.1938799     0.0003236   618.3972923     0.0003029
    0.5272    -0.1936732     0.0002297   612.4906674     0.0000978
    0.5786    -0.1936120     0.0002921   613.8489650     0.0002961
    0.6319    -0.1936299     0.0002047   613.0784474     0.0001937
    0.6769    -0.1937442    -0.0000013   610.1830544    -0.0000109
