       Ts         Scale        Bias12     Misalign34       Bias34 
    0.6769    -0.1937403    -0.0000694   611.8344614    -0.0000749
    0.6319    -0.1936305     0.0002835   614.5246057     0.0002774
    0.5786    -0.1936039     0.0003603   617.1824511     0.0003549
    0.5272    -0.1936883     0.0003701   619.8824906     0.0003583
    0.4767    -0.1938773     0.0003264   617.8535340     0.0003091
    0.5272    -0.1936720     0.0002158   612.8916993     0.0000696
    0.5786    -0.1936122     0.0002782   614.9291713     0.0002794
    0.6319    -0.1936295     0.0002008   613.8936040     0.0001896
    0.6769    -0.1937449    -0.0000057   610.3036004    -0.0000145
